combo,count
bbb,129
bbc,216
bbd,291
bbf,22
bbg,181
bbh,217
bbj,3
bbk,93
bbl,1081
bbm,115
bbn,546
bbp,74
bbq,3
bbr,668
bbs,443
bbt,448
bbv,15
bbw,33
bbx,5
bbz,43
bcb,145
bcc,574
bcd,564
bcf,102
bcg,235
bch,1247
bcj,10
bck,814
bcl,1579
bcm,404
bcn,1109
bcp,313
bcq,2
bcr,1216
bcs,944
bct,1610
bcv,120
bcw,84
bcx,11
bcz,40
bdb,111
bdc,327
bdd,441
bdf,46
bdg,363
bdh,207
bdj,3
bdk,90
bdl,761
bdm,422
bdn,986
bdp,108
bdq,10
bdr,726
bds,685
bdt,605
bdv,38
bdw,88
bdx,20
bdz,59
bfb,20
bfc,167
bfd,122
bff,104
bfg,62
bfh,64
bfj,0
bfk,10
bfl,386
bfm,157
bfn,208
bfp,11
bfq,2
bfr,397
bfs,213
bft,227
bfv,13
bfw,37
bfx,6
bfz,3
bgb,64
bgc,205
bgd,205
bgf,13
bgg,242
bgh,296
bgj,0
bgk,24
bgl,617
bgm,168
bgn,597
bgp,107
bgq,0
bgr,512
bgs,384
bgt,530
bgv,19
bgw,44
bgx,3
bgz,12
bhb,97
bhc,380
bhd,526
bhf,63
bhg,212
bhh,221
bhj,1
bhk,84
bhl,728
bhm,350
bhn,689
bhp,304
bhq,2
bhr,810
bhs,560
bht,717
bhv,41
bhw,49
bhx,11
bhz,33
bjb,19
bjc,137
bjd,26
bjf,5
bjg,30
bjh,3
bjj,0
bjk,10
bjl,53
bjm,13
bjn,82
bjp,3
bjq,0
bjr,42
bjs,36
bjt,161
bjv,44
bjw,7
bjx,2
bjz,8
bkb,80
bkc,58
bkd,205
bkf,51
bkg,172
bkh,137
bkj,5
bkk,65
bkl,241
bkm,96
bkn,382
bkp,78
bkq,0
bkr,405
bks,251
bkt,248
bkv,10
bkw,80
bkx,1
bkz,4
blb,325
blc,1198
bld,1260
blf,227
blg,879
blh,694
blj,10
blk,506
bll,2046
blm,925
bln,3050
blp,360
blq,35
blr,1807
bls,3024
blt,3372
blv,155
blw,255
blx,20
blz,232
bmb,194
bmc,317
bmd,254
bmf,26
bmg,189
bmh,158
bmj,1
bmk,119
bml,448
bmm,166
bmn,1083
bmp,133
bmq,0
bmr,544
bms,481
bmt,852
bmv,14
bmw,16
bmx,13
bmz,51
bnb,142
bnc,1332
bnd,1271
bnf,149
bng,1419
bnh,803
bnj,19
bnk,236
bnl,1414
bnm,441
bnn,1229
bnp,168
bnq,27
bnr,938
bns,2518
bnt,2226
bnv,96
bnw,85
bnx,38
bnz,339
bpb,34
bpc,299
bpd,166
bpf,45
bpg,91
bph,495
bpj,1
bpk,27
bpl,494
bpm,128
bpn,377
bpp,89
bpq,1
bpr,509
bps,377
bpt,529
bpv,17
bpw,9
bpx,4
bpz,33
bqb,3
bqc,10
bqd,11
bqf,1
bqg,4
bqh,7
bqj,0
bqk,0
bql,41
bqm,5
bqn,48
bqp,1
bqq,1
bqr,30
bqs,38
bqt,71
bqv,1
bqw,0
bqx,2
bqz,2
brb,508
brc,2038
brd,2133
brf,255
brg,1069
brh,1507
brj,12
brk,562
brl,2275
brm,1211
brn,3253
brp,581
brq,35
brr,1915
brs,2236
brt,3004
brv,269
brw,290
brx,40
brz,234
bsb,157
bsc,963
bsd,536
bsf,97
bsg,265
bsh,1110
bsj,4
bsk,208
bsl,1119
bsm,941
bsn,1334
bsp,481
bsq,65
bsr,1122
bss,2622
bst,2494
bsv,186
bsw,108
bsx,22
bsz,30
btb,214
btc,1136
btd,787
btf,135
btg,390
bth,965
btj,7
btk,177
btl,1664
btm,603
btn,2280
btp,258
btq,9
btr,2163
bts,1233
btt,1618
btv,241
btw,126
btx,33
btz,132
bvb,30
bvc,67
bvd,84
bvf,9
bvg,39
bvh,8
bvj,2
bvk,7
bvl,244
bvm,25
bvn,238
bvp,8
bvq,2
bvr,200
bvs,153
bvt,219
bvv,20
bvw,1
bvx,3
bvz,14
bwb,30
bwc,47
bwd,240
bwf,17
bwg,91
bwh,83
bwj,0
bwk,93
bwl,150
bwm,83
bwn,229
bwp,26
bwq,0
bwr,315
bws,166
bwt,155
bwv,2
bww,12
bwx,4
bwz,9
bxb,5
bxc,22
bxd,16
bxf,2
bxg,8
bxh,10
bxj,0
bxk,5
bxl,68
bxm,21
bxn,42
bxp,4
bxq,0
bxr,37
bxs,29
bxt,45
bxv,0
bxw,3
bxx,0
bxz,7
bzb,11
bzc,46
bzd,100
bzf,16
bzg,23
bzh,46
bzj,0
bzk,6
bzl,156
bzm,40
bzn,303
bzp,34
bzq,7
bzr,118
bzs,18
bzt,172
bzv,2
bzw,4
bzx,18
bzz,82
cbb,211
cbc,450
cbd,391
cbf,45
cbg,166
cbh,186
cbj,3
cbk,104
cbl,3051
cbm,258
cbn,1068
cbp,54
cbq,1
cbr,1012
cbs,810
cbt,1174
cbv,32
cbw,40
cbx,44
cbz,68
ccb,477
ccc,1475
ccd,1126
ccf,212
ccg,463
cch,1771
ccj,12
cck,600
ccl,4347
ccm,1327
ccn,2941
ccp,1027
ccq,13
ccr,2466
ccs,2627
cct,3892
ccv,359
ccw,98
ccx,53
ccz,161
cdb,182
cdc,918
cdd,630
cdf,83
cdg,347
cdh,250
cdj,21
cdk,46
cdl,1625
cdm,784
cdn,1994
cdp,225
cdq,4
cdr,1379
cds,1406
cdt,1511
cdv,101
cdw,50
cdx,28
cdz,60
cfb,96
cfc,377
cfd,269
cff,219
cfg,143
cfh,79
cfj,0
cfk,26
cfl,763
cfm,481
cfn,579
cfp,18
cfq,1
cfr,1001
cfs,514
cft,721
cfv,27
cfw,59
cfx,21
cfz,13
cgb,144
cgc,661
cgd,214
cgf,24
cgg,202
cgh,575
cgj,0
cgk,14
cgl,1237
cgm,302
cgn,1225
cgp,463
cgq,2
cgr,1066
cgs,832
cgt,895
cgv,56
cgw,22
cgx,0
cgz,73
chb,665
chc,3203
chd,2233
chf,369
chg,1475
chh,1491
chj,4
chk,474
chl,4871
chm,2803
chn,4343
chp,1765
chq,32
chr,5362
chs,4133
cht,4079
chv,170
chw,254
chx,109
chz,367
cjb,10
cjc,67
cjd,13
cjf,3
cjg,41
cjh,4
cjj,1
cjk,5
cjl,43
cjm,15
cjn,77
cjp,10
cjq,0
cjr,55
cjs,17
cjt,105
cjv,20
cjw,3
cjx,1
cjz,0
ckb,220
ckc,168
ckd,545
ckf,127
ckg,408
ckh,281
ckj,13
ckk,195
ckl,790
ckm,240
ckn,916
ckp,134
ckq,1
ckr,894
cks,694
ckt,561
ckv,16
ckw,218
ckx,6
ckz,11
clb,709
clc,2887
cld,2102
clf,381
clg,1659
clh,1072
clj,8
clk,449
cll,5459
clm,2074
cln,4621
clp,1095
clq,56
clr,4343
cls,5302
clt,5852
clv,453
clw,191
clx,131
clz,545
cmb,799
cmc,1612
cmd,772
cmf,136
cmg,629
cmh,612
cmj,4
cmk,168
cml,2087
cmm,1035
cmn,3350
cmp,1613
cmq,3
cmr,2246
cms,2005
cmt,3515
cmv,185
cmw,32
cmx,81
cmz,138
cnb,904
cnc,4332
cnd,2970
cnf,684
cng,2852
cnh,1158
cnj,110
cnk,254
cnl,4953
cnm,1810
cnn,4527
cnp,933
cnq,82
cnr,4566
cns,6125
cnt,8144
cnv,858
cnw,147
cnx,98
cnz,438
cpb,388
cpc,1637
cpd,976
cpf,146
cpg,609
cph,2487
cpj,3
cpk,51
cpl,3241
cpm,679
cpn,2291
cpp,522
cpq,3
cpr,2456
cps,2463
cpt,3302
cpv,231
cpw,35
cpx,88
cpz,89
cqb,14
cqc,39
cqd,25
cqf,2
cqg,6
cqh,12
cqj,1
cqk,3
cql,72
cqm,15
cqn,113
cqp,5
cqq,0
cqr,57
cqs,81
cqt,135
cqv,7
cqw,1
cqx,0
cqz,4
crb,1685
crc,5072
crd,3398
crf,760
crg,1914
crh,2330
crj,25
crk,526
crl,5885
crm,3876
crn,6776
crp,3279
crq,49
crr,4255
crs,6282
crt,8013
crv,811
crw,405
crx,205
crz,507
csb,456
csc,2054
csd,865
csf,152
csg,514
csh,1202
csj,6
csk,139
csl,2664
csm,2168
csn,2910
csp,1216
csq,51
csr,2056
css,5091
cst,5283
csv,379
csw,99
csx,33
csz,86
ctb,1024
ctc,4381
ctd,2484
ctf,450
ctg,1451
cth,2477
ctj,8
ctk,195
ctl,6318
ctm,2413
ctn,7869
ctp,1563
ctq,37
ctr,7476
cts,5004
ctt,4907
ctv,1442
ctw,148
ctx,178
ctz,510
cvb,152
cvc,308
cvd,161
cvf,9
cvg,109
cvh,42
cvj,1
cvk,14
cvl,920
cvm,103
cvn,827
cvp,23
cvq,2
cvr,644
cvs,620
cvt,745
cvv,58
cvw,5
cvx,18
cvz,59
cwb,43
cwc,34
cwd,294
cwf,16
cwg,89
cwh,79
cwj,0
cwk,119
cwl,145
cwm,84
cwn,214
cwp,28
cwq,2
cwr,355
cws,200
cwt,137
cwv,5
cww,12
cwx,3
cwz,7
cxb,19
cxc,55
cxd,32
cxf,3
cxg,12
cxh,20
cxj,0
cxk,1
cxl,94
cxm,34
cxn,103
cxp,18
cxq,0
cxr,43
cxs,76
cxt,85
cxv,8
cxw,1
cxx,1
cxz,2
czb,54
czc,69
czd,107
czf,1
czg,47
czh,36
czj,0
czk,2
czl,119
czm,50
czn,465
czp,29
czq,0
czr,144
czs,66
czt,375
czv,2
czw,3
czx,1
czz,9
dbb,117
dbc,220
dbd,276
dbf,24
dbg,118
dbh,139
dbj,1
dbk,74
dbl,1935
dbm,129
dbn,660
dbp,21
dbq,0
dbr,632
dbs,450
dbt,751
dbv,27
dbw,17
dbx,24
dbz,60
dcb,440
dcc,812
dcd,746
dcf,125
dcg,273
dch,852
dcj,3
dck,310
dcl,2745
dcm,799
dcn,2193
dcp,567
dcq,2
dcr,1908
dcs,1608
dct,3362
dcv,363
dcw,23
dcx,25
dcz,144
ddb,127
ddc,457
ddd,409
ddf,67
ddg,340
ddh,220
ddj,4
ddk,69
ddl,1112
ddm,383
ddn,1266
ddp,104
ddq,0
ddr,789
dds,820
ddt,707
ddv,57
ddw,53
ddx,14
ddz,66
dfb,116
dfc,320
dfd,204
dff,211
dfg,89
dfh,98
dfj,0
dfk,14
dfl,671
dfm,212
dfn,603
dfp,16
dfq,2
dfr,601
dfs,408
dft,633
dfv,45
dfw,49
dfx,15
dfz,18
dgb,143
dgc,365
dgd,340
dgf,71
dgg,294
dgh,471
dgj,0
dgk,42
dgl,1025
dgm,336
dgn,1166
dgp,244
dgq,1
dgr,923
dgs,808
dgt,999
dgv,56
dgw,45
dgx,2
dgz,60
dhb,131
dhc,511
dhd,584
dhf,42
dhg,203
dhh,206
dhj,2
dhk,54
dhl,756
dhm,446
dhn,807
dhp,387
dhq,2
dhr,991
dhs,771
dht,796
dhv,28
dhw,39
dhx,40
dhz,68
djb,15
djc,74
djd,37
djf,1
djg,20
djh,6
djj,3
djk,6
djl,37
djm,26
djn,106
djp,4
djq,0
djr,55
djs,50
djt,148
djv,28
djw,2
djx,1
djz,1
dkb,19
dkc,24
dkd,62
dkf,9
dkg,75
dkh,45
dkj,2
dkk,19
dkl,78
dkm,33
dkn,237
dkp,28
dkq,0
dkr,165
dks,99
dkt,91
dkv,3
dkw,11
dkx,0
dkz,5
dlb,290
dlc,1027
dld,768
dlf,121
dlg,830
dlh,508
dlj,1
dlk,308
dll,1741
dlm,732
dln,2062
dlp,384
dlq,27
dlr,1320
dls,2119
dlt,2377
dlv,152
dlw,112
dlx,43
dlz,339
dmb,314
dmc,967
dmd,466
dmf,75
dmg,361
dmh,402
dmj,4
dmk,137
dml,1103
dmm,437
dmn,2347
dmp,436
dmq,5
dmr,1292
dms,1292
dmt,2308
dmv,98
dmw,21
dmx,31
dmz,149
dnb,319
dnc,1666
dnd,1227
dnf,148
dng,2121
dnh,560
dnj,8
dnk,148
dnl,2286
dnm,864
dnn,1903
dnp,271
dnq,21
dnr,1500
dns,3795
dnt,4308
dnv,158
dnw,53
dnx,32
dnz,272
dpb,203
dpc,779
dpd,485
dpf,92
dpg,274
dph,1194
dpj,1
dpk,26
dpl,1295
dpm,428
dpn,1180
dpp,320
dpq,3
dpr,1327
dps,1140
dpt,1605
dpv,132
dpw,14
dpx,37
dpz,82
dqb,4
dqc,20
dqd,8
dqf,6
dqg,3
dqh,1
dqj,0
dqk,1
dql,33
dqm,11
dqn,59
dqp,3
dqq,0
dqr,24
dqs,26
dqt,76
dqv,10
dqw,0
dqx,1
dqz,2
drb,792
drc,2202
drd,1663
drf,464
drg,1272
drh,1257
drj,18
drk,358
drl,2873
drm,2231
drn,3780
drp,1353
drq,23
drr,2023
drs,3280
drt,4101
drv,480
drw,301
drx,119
drz,322
dsb,694
dsc,1926
dsd,947
dsf,248
dsg,655
dsh,1277
dsj,32
dsk,193
dsl,2181
dsm,1721
dsn,2892
dsp,1373
dsq,67
dsr,2389
dss,4189
dst,3962
dsv,417
dsw,110
dsx,48
dsz,133
dtb,468
dtc,1669
dtd,1052
dtf,156
dtg,569
dth,1009
dtj,2
dtk,91
dtl,2666
dtm,957
dtn,3471
dtp,403
dtq,7
dtr,3007
dts,2095
dtt,2003
dtv,502
dtw,47
dtx,73
dtz,229
dvb,124
dvc,189
dvd,196
dvf,29
dvg,133
dvh,29
dvj,0
dvk,15
dvl,638
dvm,97
dvn,607
dvp,52
dvq,0
dvr,474
dvs,479
dvt,544
dvv,46
dvw,21
dvx,1
dvz,38
dwb,39
dwc,44
dwd,249
dwf,40
dwg,109
dwh,116
dwj,0
dwk,91
dwl,187
dwm,85
dwn,378
dwp,46
dwq,0
dwr,406
dws,219
dwt,209
dwv,5
dww,32
dwx,6
dwz,0
dxb,8
dxc,77
dxd,44
dxf,2
dxg,25
dxh,18
dxj,0
dxk,1
dxl,106
dxm,31
dxn,114
dxp,19
dxq,1
dxr,122
dxs,91
dxt,147
dxv,2
dxw,0
dxx,1
dxz,21
dzb,32
dzc,20
dzd,59
dzf,3
dzg,19
dzh,8
dzj,0
dzk,5
dzl,91
dzm,26
dzn,321
dzp,5
dzq,0
dzr,70
dzs,17
dzt,249
dzv,1
dzw,0
dzx,4
dzz,46
fbb,34
fbc,107
fbd,140
fbf,15
fbg,56
fbh,42
fbj,2
fbk,31
fbl,978
fbm,90
fbn,275
fbp,13
fbq,0
fbr,411
fbs,238
fbt,294
fbv,4
fbw,19
fbx,8
fbz,9
fcb,119
fcc,236
fcd,321
fcf,67
fcg,125
fch,226
fcj,0
fck,184
fcl,965
fcm,155
fcn,1313
fcp,65
fcq,1
fcr,554
fcs,590
fct,1885
fcv,135
fcw,12
fcx,6
fcz,43
fdb,55
fdc,97
fdd,179
fdf,26
fdg,134
fdh,49
fdj,5
fdk,25
fdl,450
fdm,160
fdn,467
fdp,35
fdq,0
fdr,287
fds,373
fdt,284
fdv,18
fdw,23
fdx,8
fdz,23
ffb,95
ffc,435
ffd,254
fff,54
ffg,179
ffh,104
ffj,0
ffk,39
ffl,732
ffm,183
ffn,736
ffp,25
ffq,5
ffr,630
ffs,413
fft,607
ffv,86
ffw,46
ffx,20
ffz,12
fgb,79
fgc,68
fgd,149
fgf,54
fgg,136
fgh,212
fgj,0
fgk,16
fgl,534
fgm,91
fgn,455
fgp,30
fgq,0
fgr,381
fgs,281
fgt,542
fgv,50
fgw,23
fgx,0
fgz,9
fhb,54
fhc,51
fhd,272
fhf,57
fhg,120
fhh,77
fhj,0
fhk,35
fhl,262
fhm,92
fhn,333
fhp,115
fhq,0
fhr,349
fhs,202
fht,319
fhv,1
fhw,34
fhx,2
fhz,9
fjb,0
fjc,2
fjd,9
fjf,0
fjg,6
fjh,0
fjj,0
fjk,3
fjl,6
fjm,1
fjn,8
fjp,0
fjq,0
fjr,8
fjs,8
fjt,5
fjv,0
fjw,0
fjx,0
fjz,0
fkb,9
fkc,7
fkd,51
fkf,10
fkg,52
fkh,17
fkj,0
fkk,4
fkl,94
fkm,23
fkn,128
fkp,6
fkq,1
fkr,102
fks,68
fkt,43
fkv,0
fkw,20
fkx,0
fkz,4
flb,243
flc,714
fld,796
flf,162
flg,649
flh,317
flj,4
flk,333
fll,1567
flm,463
fln,1745
flp,157
flq,8
flr,1337
fls,1594
flt,1665
flv,136
flw,371
flx,160
flz,112
fmb,142
fmc,121
fmd,173
fmf,22
fmg,126
fmh,71
fmj,0
fmk,43
fml,454
fmm,115
fmn,808
fmp,48
fmq,1
fmr,382
fms,367
fmt,711
fmv,38
fmw,13
fmx,12
fmz,47
fnb,147
fnc,639
fnd,691
fnf,77
fng,1144
fnh,227
fnj,2
fnk,139
fnl,1089
fnm,235
fnn,781
fnp,66
fnq,5
fnr,484
fns,1624
fnt,1530
fnv,60
fnw,47
fnx,8
fnz,81
fpb,3
fpc,55
fpd,48
fpf,41
fpg,25
fph,57
fpj,2
fpk,14
fpl,85
fpm,29
fpn,106
fpp,58
fpq,0
fpr,159
fps,87
fpt,97
fpv,4
fpw,4
fpx,2
fpz,2
fqb,1
fqc,7
fqd,3
fqf,0
fqg,1
fqh,0
fqj,0
fqk,0
fql,9
fqm,1
fqn,30
fqp,0
fqq,0
fqr,6
fqs,7
fqt,23
fqv,1
fqw,0
fqx,2
fqz,0
frb,481
frc,1072
frd,1170
frf,318
frg,887
frh,615
frj,12
frk,297
frl,1768
frm,2024
frn,2361
frp,300
frq,34
frr,1346
frs,2155
frt,2426
frv,215
frw,261
frx,25
frz,177
fsb,134
fsc,388
fsd,253
fsf,76
fsg,148
fsh,828
fsj,0
fsk,90
fsl,696
fsm,346
fsn,815
fsp,179
fsq,13
fsr,441
fss,1625
fst,1125
fsv,76
fsw,42
fsx,3
fsz,25
ftb,224
ftc,325
ftd,605
ftf,170
ftg,406
fth,472
ftj,0
ftk,96
ftl,1247
ftm,303
ftn,2000
ftp,111
ftq,3
ftr,1369
fts,922
ftt,948
ftv,243
ftw,120
ftx,10
ftz,75
fvb,23
fvc,44
fvd,39
fvf,6
fvg,24
fvh,13
fvj,0
fvk,1
fvl,150
fvm,20
fvn,133
fvp,9
fvq,0
fvr,119
fvs,144
fvt,77
fvv,3
fvw,7
fvx,0
fvz,2
fwb,7
fwc,8
fwd,136
fwf,11
fwg,55
fwh,34
fwj,0
fwk,51
fwl,102
fwm,35
fwn,128
fwp,13
fwq,0
fwr,370
fws,108
fwt,65
fwv,0
fww,2
fwx,2
fwz,7
fxb,33
fxc,8
fxd,41
fxf,6
fxg,11
fxh,9
fxj,0
fxk,3
fxl,71
fxm,13
fxn,84
fxp,4
fxq,0
fxr,38
fxs,33
fxt,58
fxv,8
fxw,8
fxx,0
fxz,0
fzb,9
fzc,8
fzd,21
fzf,0
fzg,14
fzh,2
fzj,0
fzk,1
fzl,41
fzm,3
fzn,84
fzp,1
fzq,0
fzr,25
fzs,6
fzt,56
fzv,0
fzw,0
fzx,0
fzz,26
gbb,83
gbc,102
gbd,153
gbf,10
gbg,64
gbh,72
gbj,2
gbk,44
gbl,956
gbm,49
gbn,302
gbp,8
gbq,1
gbr,338
gbs,256
gbt,279
gbv,1
gbw,10
gbx,4
gbz,9
gcb,22
gcc,277
gcd,142
gcf,36
gcg,52
gch,312
gcj,0
gck,105
gcl,1796
gcm,192
gcn,450
gcp,201
gcq,1
gcr,375
gcs,572
gct,650
gcv,18
gcw,8
gcx,4
gcz,37
gdb,47
gdc,151
gdd,220
gdf,63
gdg,120
gdh,124
gdj,1
gdk,47
gdl,510
gdm,240
gdn,612
gdp,78
gdq,6
gdr,342
gds,504
gdt,351
gdv,11
gdw,32
gdx,2
gdz,23
gfb,7
gfc,124
gfd,59
gff,86
gfg,28
gfh,59
gfj,0
gfk,2
gfl,338
gfm,84
gfn,195
gfp,5
gfq,2
gfr,259
gfs,192
gft,200
gfv,10
gfw,30
gfx,4
gfz,1
ggb,66
ggc,289
ggd,277
ggf,19
ggg,254
ggh,269
ggj,1
ggk,18
ggl,835
ggm,160
ggn,714
ggp,175
ggq,2
ggr,745
ggs,516
ggt,521
ggv,72
ggw,22
ggx,2
ggz,25
ghb,116
ghc,761
ghd,473
ghf,104
ghg,217
ghh,180
ghj,3
ghk,44
ghl,859
ghm,274
ghn,671
ghp,234
ghq,0
ghr,757
ghs,805
ght,1436
ghv,3
ghw,72
ghx,10
ghz,34
gjb,1
gjc,2
gjd,2
gjf,0
gjg,4
gjh,0
gjj,2
gjk,2
gjl,3
gjm,2
gjn,6
gjp,1
gjq,0
gjr,5
gjs,2
gjt,5
gjv,0
gjw,3
gjx,0
gjz,0
gkb,1
gkc,6
gkd,18
gkf,0
gkg,39
gkh,9
gkj,0
gkk,8
gkl,12
gkm,5
gkn,91
gkp,14
gkq,0
gkr,69
gks,36
gkt,29
gkv,0
gkw,2
gkx,0
gkz,0
glb,269
glc,986
gld,824
glf,155
glg,624
glh,413
glj,4
glk,251
gll,1853
glm,575
gln,1729
glp,393
glq,19
glr,1145
gls,1852
glt,1830
glv,142
glw,117
glx,33
glz,170
gmb,92
gmc,640
gmd,183
gmf,33
gmg,159
gmh,207
gmj,5
gmk,88
gml,548
gmm,362
gmn,1181
gmp,206
gmq,2
gmr,592
gms,635
gmt,1296
gmv,22
gmw,12
gmx,13
gmz,62
gnb,231
gnc,1783
gnd,989
gnf,222
gng,1389
gnh,604
gnj,8
gnk,88
gnl,1990
gnm,785
gnn,1412
gnp,330
gnq,25
gnr,1296
gns,3305
gnt,3323
gnv,139
gnw,69
gnx,18
gnz,314
gpb,26
gpc,765
gpd,136
gpf,41
gpg,142
gph,2098
gpj,0
gpk,15
gpl,610
gpm,135
gpn,313
gpp,108
gpq,1
gpr,515
gps,489
gpt,451
gpv,5
gpw,17
gpx,13
gpz,20
gqb,0
gqc,3
gqd,1
gqf,0
gqg,0
gqh,0
gqj,0
gqk,0
gql,4
gqm,1
gqn,10
gqp,0
gqq,0
gqr,2
gqs,7
gqt,9
gqv,0
gqw,0
gqx,0
gqz,0
grb,256
grc,1523
grd,1287
grf,296
grg,672
grh,2229
grj,6
grk,152
grl,1883
grm,1202
grn,2330
grp,2140
grq,26
grr,1103
grs,2038
grt,2246
grv,352
grw,177
grx,31
grz,172
gsb,109
gsc,761
gsd,262
gsf,62
gsg,183
gsh,766
gsj,2
gsk,95
gsl,879
gsm,884
gsn,888
gsp,514
gsq,36
gsr,908
gss,2689
gst,2465
gsv,90
gsw,48
gsx,6
gsz,15
gtb,153
gtc,1485
gtd,663
gtf,179
gtg,354
gth,860
gtj,7
gtk,84
gtl,1608
gtm,629
gtn,1980
gtp,321
gtq,13
gtr,1795
gts,1476
gtt,1278
gtv,257
gtw,92
gtx,35
gtz,124
gvb,19
gvc,60
gvd,56
gvf,1
gvg,70
gvh,24
gvj,0
gvk,11
gvl,182
gvm,62
gvn,273
gvp,25
gvq,0
gvr,166
gvs,143
gvt,154
gvv,3
gvw,4
gvx,1
gvz,15
gwb,5
gwc,7
gwd,135
gwf,8
gwg,57
gwh,55
gwj,0
gwk,69
gwl,54
gwm,57
gwn,110
gwp,10
gwq,0
gwr,216
gws,114
gwt,90
gwv,0
gww,8
gwx,1
gwz,2
gxb,0
gxc,3
gxd,1
gxf,0
gxg,1
gxh,1
gxj,0
gxk,0
gxl,17
gxm,2
gxn,16
gxp,1
gxq,0
